OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,FUENTE,DESCRIPCIO,SEUDONIMOS,AREA_HA,COD_DPTO,ShapeSTArea,ShapeSTLength
13750,23001,23001036,CÓRDOBA,MONTERÍA,EL FARO,2011,POT,NULL,NULL,225.07170176,23,2317360.63108111,7895.7297326257
13751,23001,23001079,CÓRDOBA,MONTERÍA,LAS BABILLAS,2011,POT,NULL,NULL,292.79232273,23,3014716.61765397,10469.7947534801
13752,54128,54128015,NORTE DE SANTANDER,CÁCHIRA,EL RECREO,2009,POT,NULL,NULL,1435.84692612,54,14710506.6798069,18015.3492968071
13753,54128,54128037,NORTE DE SANTANDER,CÁCHIRA,PALO QUEMAO,2009,POT,NULL,NULL,257.85419813,54,2641923.2558079,7823.55826095276
13754,54128,54128016,NORTE DE SANTANDER,CÁCHIRA,EL SALOBRE,2009,POT,NULL,NULL,271.08671054,54,2777215.79224938,8367.56342592838
13755,54128,54128045,NORTE DE SANTANDER,CÁCHIRA,SAN FRANCISCO,2009,POT,NULL,NULL,1083.37637876,54,11096563.4568432,15157.5148354597
13756,23001,23001013,CÓRDOBA,MONTERÍA,BUENA VISTA,2011,POT,NULL,NULL,1900.0800611,23,19533927.1163781,33007.7519786562
13757,23001,23001019,CÓRDOBA,MONTERÍA,CHISPA CATALINA,2011,POT,NULL,NULL,316.42964788,23,3255680.08060131,11996.9566664032
13758,23001,23001139,CÓRDOBA,MONTERÍA,SANTA LUCIA,2011,POT,NULL,NULL,4199.36972385,23,43237757.4568667,36351.2795021217
13759,20400,20400013,CESAR,LA JAGUA DE IBIRICO,GUARUMERA,2000,PBOT MUNICIPIO DE LA JAGUA DE IBIRICO,NULL,NULL,1514.25675476,20,15661556.3205291,17985.440211277
13760,20400,20400018,CESAR,LA JAGUA DE IBIRICO,LA ESTRELLA,2000,PBOT MUNICIPIO DE LA JAGUA DE IBIRICO,NULL,NULL,635.92992162,20,6578198.45629459,16240.572106088
13761,23672,23672005,CÓRDOBA,SAN ANTERO,PORVENIR,2007,ALCALDIA MUNICIPAL,NULL,NULL,906.94276813,23,9369576.37498239,14888.8520486689
13762,23660,23660058,CÓRDOBA,SAHAGÚN,VEREDA RANCHERIA,2011,POT,CAMBIO DE CODIGO Y NOMBRE DE MPIO,NULL,676.29704723,23,6969441.48233453,17118.5845056869
13763,23660,23660024,CÓRDOBA,SAHAGÚN,VEREDA ESCOBALITO,2011,POT,CAMBIO DE CODIGO Y NOMBRE DE MPIO,NULL,409.94638464,23,4224526.5029915,10786.67190853
13764,23168,23168015,CÓRDOBA,CHIMA,TAMBOR,2006,POT,NULL,NULL,1396.86871601,23,14412464.1972218,30258.4244461351
13765,23168,23168005,CÓRDOBA,CHIMA,COROZALITO,2006,POT,NULL,NULL,3725.86595952,23,38417920.6364929,42442.1020431653
