area;rooms;title;property_id;stratum;offer;garages;baths;price;property_type;location;location_main;new;longitude;latitude;localidadgenerada
49;3;Apartamento en Arriendo;6b6db0be-2d8b-4d26-8abe-81538b5e56b4;Estrato 3;Arriendo;0;2;950000;Apartamento;POINT (-74.02537610000002 4.762462999999999);Horizontes Norte;FALSO;-74,0253761;4,762463;Localidad Usaquén
66;2;Apartamento en Arriendo;2c87899b-7642-410e-934c-ce601383d733;Estrato 4;Arriendo;2;2;2840000;Apartamento;POINT (-74.0385115 4.7227192);NoIdentificado;FALSO;-74,0385115;4,7227192;Localidad Usaquén
55;1;Apartamento en Arriendo;bc0bc95f-2913-438f-9a38-c1bf2dfd9a3a;Estrato 6;Arriendo;1;2;2800000;Apartamento;POINT (-74.04761886508179 4.698646059001543);NoIdentificado;FALSO;-74,04761887;4,698646059;Localidad Usaquén
60;2;Apartamento en Arriendo;61e4de5d-1c19-431b-b848-55ea3c082be3;Estrato 3;Arriendo;0;1;850000;Apartamento;POINT (-74.10430749999999 4.5672023);NoIdentificado;FALSO;-74,1043075;4,5672023;Localidad Rafael Uribe Uribe
39,9;2;Apartamento en Arriendo;f005b235-89a8-4ebd-8a42-86ef3c731f7f;Estrato 3;Arriendo;0;1;1600000;Apartamento;POINT (-74.0690865 4.7429773);NoIdentificado;FALSO;-74,0690865;4,7429773;Localidad Suba
210;3;Apartamento en Arriendo;ebbfe0e5-d603-4f84-98cf-3c3d782b56c1;Estrato 6;Arriendo;0;4;11400000;Apartamento;POINT (-74.0419834 4.6759616);Zona chapinero;FALSO;-74,0419834;4,6759616;Localidad Chapinero
117;3;Apartamento en Arriendo;d34c442d-6697-46b2-a8f1-68c553c88e46;Estrato 4;Arriendo;1;2;3000000;Apartamento;POINT (-74.076112859918 4.631903020028);NoIdentificado;FALSO;-74,07611286;4,63190302;Localidad Teusaquillo
93;2;Apartamento en Arriendo;9b402c87-8645-487e-823c-a19eabe48c8f;Estrato 5;Arriendo;2;2;4700000;Apartamento;POINT (-74.0548955 4.6431802);Chapinero Alto;FALSO;-74,0548955;4,6431802;Localidad Chapinero
44;2;Apartamento en Arriendo;7c598d20-b297-4eb4-a7ed-6dac3cbfc2f5;Estrato 3;Arriendo;0;1;801400;Apartamento;POINT (-74.07950199999999 4.572119199999999);NoIdentificado;FALSO;-74,079502;4,5721192;Localidad San Cristóbal
73;1;Apartamento en Arriendo;5ccea82d-7f26-4203-b270-0b25ee731678;Estrato 6;Arriendo;2;2;3950000;Apartamento;POINT (-74.0550001 4.6934913);Chicó Navarra;FALSO;-74,0550001;4,6934913;Localidad Usaquén
61;3;Apartamento en Arriendo;b7879407-72bd-422e-a448-aaa582c433ed;Estrato 3;Arriendo;1;1;1550000;Apartamento;POINT (-74.114 4.654);NoIdentificado;FALSO;-74,114;4,654;Localidad Fontibón
90;2;Apartamento en Arriendo;a63205e3-9bec-42fc-b233-2ca7774e2ce2;Estrato 5;Arriendo;1;2;2850000;Apartamento;POINT (-74.0569831 4.6940339);NoIdentificado;FALSO;-74,0569831;4,6940339;Localidad Suba
